Day , cco , ccoextr , ccoexts , ccx , cgt , cgtpcst , cgttlm , hou , mld , mlx , neb , nex , okc , okctlm , okx
0 ,   7  ,   13  ,   0  ,   0  ,   0  ,   0  ,   4  ,   4  ,   32  ,   19  ,   10  ,   2  ,   8  ,   0  ,   7  , 
1 ,   1  ,   1  ,   0  ,   0  ,   0  ,   0  ,   0  ,   0  ,   6  ,   2  ,   1  ,   0  ,   1  ,   0  ,   1  , 
2 ,   1  ,   0  ,   0  ,   0  ,   0  ,   0  ,   2  ,   0  ,   1  ,   2  ,   1  ,   0  ,   0  ,   0  ,   0  , 
3 ,   4  ,   0  ,   0  ,   0  ,   0  ,   0  ,   0  ,   0  ,   5  ,   5  ,   0  ,   0  ,   0  ,   0  ,   4  , 
4 ,   1  ,   0  ,   0  ,   0  ,   0  ,   0  ,   0  ,   0  ,   1  ,   0  ,   1  ,   0  ,   2  ,   0  ,   0  , 
5 ,   2  ,   0  ,   0  ,   0  ,   0  ,   0  ,   0  ,   0  ,   7  ,   1  ,   3  ,   0  ,   0  ,   0  ,   0  , 
6 ,   0  ,   2  ,   0  ,   0  ,   0  ,   0  ,   0  ,   0  ,   5  ,   6  ,   1  ,   0  ,   3  ,   1  ,   2  , 
7 ,   0  ,   0  ,   0  ,   0  ,   0  ,   0  ,   3  ,   1  ,   6  ,   3  ,   0  ,   0  ,   1  ,   1  ,   1  , 
8 ,   5  ,   2  ,   0  ,   0  ,   0  ,   0  ,   2  ,   1  ,   1  ,   2  ,   0  ,   0  ,   0  ,   0  ,   1  , 
9 ,   0  ,   0  ,   0  ,   0  ,   0  ,   0  ,   2  ,   0  ,   4  ,   3  ,   3  ,   0  ,   1  ,   0  ,   0  , 
10 ,   0  ,   0  ,   0  ,   0  ,   0  ,   0  ,   0  ,   0  ,   2  ,   1  ,   0  ,   0  ,   1  ,   0  ,   3  , 
11 ,   1  ,   0  ,   0  ,   0  ,   0  ,   0  ,   0  ,   0  ,   3  ,   0  ,   1  ,   0  ,   2  ,   0  ,   4  , 
12 ,   0  ,   2  ,   0  ,   0  ,   0  ,   0  ,   1  ,   1  ,   6  ,   3  ,   1  ,   0  ,   2  ,   0  ,   0  , 
13 ,   2  ,   2  ,   0  ,   0  ,   0  ,   0  ,   0  ,   0  ,   2  ,   4  ,   2  ,   0  ,   0  ,   0  ,   0  , 
14 ,   1  ,   0  ,   0  ,   0  ,   0  ,   0  ,   1  ,   0  ,   4  ,   1  ,   1  ,   0  ,   0  ,   2  ,   0  , 
15 ,   0  ,   0  ,   0  ,   0  ,   0  ,   0  ,   0  ,   0  ,   1  ,   6  ,   0  ,   0  ,   1  ,   0  ,   0  , 
16 ,   3  ,   0  ,   0  ,   0  ,   0  ,   0  ,   2  ,   0  ,   6  ,   0  ,   0  ,   0  ,   1  ,   0  ,   2  , 
